"","state","year","st","cfc","hcbs","bip","mcaid_exp","care","ltci","spouse_pay_mcaid","spouse_pay_st","first","start","rel_yr"
"1","AK",2000,1,0,0,0,0,0,0,0,0,NA,NA,NA
"2","AK",2001,1,0,0,0,0,0,0,0,0,NA,NA,NA
"3","AK",2002,1,0,0,0,0,0,0,0,0,NA,NA,NA
"4","AK",2003,1,0,0,0,0,0,0,0,0,NA,NA,NA
"5","AK",2004,1,0,0,0,0,0,0,0,0,NA,NA,NA
"6","AK",2005,1,0,0,0,0,0,0,0,0,NA,NA,NA
"7","AK",2006,1,0,0,0,0,0,0,0,0,NA,NA,NA
"8","AK",2007,1,0,0,0,0,0,0,0,0,NA,NA,NA
"9","AK",2008,1,0,0,0,0,0,0,0,0,NA,NA,NA
"10","AK",2009,1,0,0,0,0,0,0,0,0,NA,NA,NA
"11","AK",2010,1,0,0,0,0,0,0,0,0,NA,NA,NA
"12","AK",2011,1,0,0,0,0,0,0,0,0,NA,NA,NA
"13","AK",2012,1,0,0,0,0,0,0,0,0,NA,NA,NA
"14","AK",2013,1,0,0,0,0,0,0,0,0,NA,NA,NA
"15","AK",2014,1,0,0,0,0,0,0,0,0,NA,NA,NA
"16","AK",2015,1,0,0,0,1,0,0,0,0,NA,NA,NA
"17","AK",2016,1,0,0,0,1,0,0,0,0,NA,NA,NA
"18","AK",2017,1,0,0,0,1,1,0,0,0,NA,NA,NA
"19","AK",2018,1,0,0,0,1,1,0,0,0,NA,NA,NA
"20","AL",2000,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"21","AL",2001,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"22","AL",2002,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"23","AL",2003,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"24","AL",2004,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"25","AL",2005,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"26","AL",2006,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"27","AL",2007,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"28","AL",2008,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"29","AL",2009,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"30","AL",2010,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"31","AL",2011,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"32","AL",2012,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"33","AL",2013,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"34","AL",2014,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"35","AL",2015,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"36","AL",2016,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"37","AL",2017,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"38","AL",2018,2,0,0,0,0,0,1,NA,0,NA,NA,NA
"39","AR",2000,3,0,0,0,0,0,0,0,0,NA,NA,NA
"40","AR",2001,3,0,0,0,0,0,0,0,0,NA,NA,NA
"41","AR",2002,3,0,0,0,0,0,0,0,0,NA,NA,NA
"42","AR",2003,3,0,0,0,0,0,0,0,0,NA,NA,NA
"43","AR",2004,3,0,0,0,0,0,0,0,0,NA,NA,NA
"44","AR",2005,3,0,0,0,0,0,0,0,0,NA,NA,NA
"45","AR",2006,3,0,0,0,0,0,0,0,0,NA,NA,NA
"46","AR",2007,3,0,0,0,0,0,0,0,0,NA,NA,NA
"47","AR",2008,3,0,0,0,0,0,0,0,0,NA,NA,NA
"48","AR",2009,3,0,0,0,0,0,0,0,0,NA,NA,NA
"49","AR",2010,3,0,0,0,0,0,0,0,0,NA,NA,NA
"50","AR",2011,3,0,0,0,0,0,0,0,0,NA,NA,NA
"51","AR",2012,3,0,0,0,0,0,0,0,0,NA,NA,NA
"52","AR",2013,3,0,0,1,0,0,0,0,0,NA,NA,NA
"53","AR",2014,3,0,0,0,1,0,0,0,0,NA,NA,NA
"54","AR",2015,3,0,0,0,1,1,0,0,0,NA,NA,NA
"55","AR",2016,3,0,0,0,1,1,0,0,0,NA,NA,NA
"56","AR",2017,3,0,0,0,1,1,0,0,0,NA,NA,NA
"57","AR",2018,3,0,0,0,1,1,0,0,0,NA,NA,NA
"58","AZ",2000,4,0,0,0,0,0,0,0,0,NA,2008,-8
"59","AZ",2001,4,0,0,0,0,0,0,0,0,NA,2008,-7
"60","AZ",2002,4,0,0,0,0,0,0,0,0,NA,2008,-6
"61","AZ",2003,4,0,0,0,0,0,0,0,0,NA,2008,-5
"62","AZ",2004,4,0,0,0,0,0,0,0,0,NA,2008,-4
"63","AZ",2005,4,0,0,0,0,0,0,0,0,NA,2008,-3
"64","AZ",2006,4,0,0,0,0,0,0,0,0,NA,2008,-2
"65","AZ",2007,4,0,0,0,0,0,0,0,0,NA,2008,-1
"66","AZ",2008,4,0,0,0,0,0,0,1,0,2008,2008,0
"67","AZ",2009,4,0,0,0,0,0,0,1,0,NA,2008,1
"68","AZ",2010,4,0,0,0,0,0,0,1,0,NA,2008,2
"69","AZ",2011,4,0,0,0,0,0,0,1,0,NA,2008,3
"70","AZ",2012,4,0,0,0,0,0,0,1,0,NA,2008,4
"71","AZ",2013,4,0,0,0,0,0,0,1,0,NA,2008,5
"72","AZ",2014,4,0,0,0,1,0,0,1,0,NA,2008,6
"73","AZ",2015,4,0,0,0,1,0,0,1,0,NA,2008,7
"74","AZ",2016,4,0,0,0,1,0,0,1,0,NA,2008,8
"75","AZ",2017,4,0,0,0,1,0,0,1,0,NA,2008,9
"76","AZ",2018,4,0,0,0,1,0,0,1,0,NA,2008,10
"77","CA",2000,5,0,0,0,0,0,0,0,0,NA,2005,-5
"78","CA",2001,5,0,0,0,0,0,0,0,0,NA,2005,-4
"79","CA",2002,5,0,0,0,0,0,0,0,0,NA,2005,-3
"80","CA",2003,5,0,0,0,0,0,0,0,0,NA,2005,-2
"81","CA",2004,5,0,0,0,0,0,0,0,0,NA,2005,-1
