"","Year","Type.of.Care","Daily.Rate","Sub.to.Index","Non.Weighted.Amount","Sumbitted.Required.Quality.Data","CBSA","Area","Wage.Index","Area.Type","CBSA.Rate"
"1","2007","Continuous Home Care",763.66,524.71,238.95,NA,"10500","Albany, GA",0.9175,"Urban",720.371425
"2","2007","Continuous Home Care",763.66,524.71,238.95,NA,"10180","Abilene, TX",0.8397,"Urban",679.548987
"3","2007","Continuous Home Care",763.66,524.71,238.95,NA,"10420","Akron, OH",0.9552,"Urban",740.152992
"4","2007","Continuous Home Care",763.66,524.71,238.95,NA,"10900","Allentown-Bethlehem-Easton, PA-NJ",1.0441,"Urban",786.799711
"5","2007","Continuous Home Care",763.66,524.71,238.95,NA,"10580","Albany-Schenectady-Troy, NY",0.9134,"Urban",718.220114
"6","2007","Continuous Home Care",763.66,524.71,238.95,NA,"10740","Albuquerque, NM",1.0298,"Urban",779.296358
"7","2007","Continuous Home Care",763.66,524.71,238.95,NA,"10780","Alexandria, LA",0.8543,"Urban",687.209753
"8","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11260","Anchorage, AK",1.265,"Urban",902.70815
"9","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11300","Anderson, IN",0.9131,"Urban",718.062701
"10","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11340","Anderson, SC",0.9568,"Urban",740.992528
"11","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11460","1Ann Arbor, MI",1.1548,"Urban",844.885108
"12","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11500","Anniston-Oxford, AL",0.8169,"Urban",667.585599
"13","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11540","Appleton, WI",0.9877,"Urban",757.206067
"14","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11700","Asheville, NC",0.9874,"Urban",757.048654
"15","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12020","Athens-Clarke County, GA",1.048,"Urban",788.84608
"16","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12060","Atlanta-Sandy Springs-Marietta, GA",1.0414,"Urban",785.382994
"17","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12100","Atlantic City, NJ",1.2352,"Urban",887.071792
"18","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11020","Altoona, PA",0.9511,"Urban",738.001681
"19","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11100","Amarillo, TX",0.9737,"Urban",749.860127
"20","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47020","Victoria, TX",0.8678,"Urban",694.293338
"21","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47220","Vineland-Millville-Bridgeton, NJ",1.0451,"Urban",787.324421
"22","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47260","Virginia Beach-Norfolk-Newport News, VA",0.9357,"Urban",729.921147
"23","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47300","Visalia-Porterville, CA",1.0765,"Urban",803.800315
"24","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47380","Waco, TX",0.9058,"Urban",714.232318
"25","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47580","Warner Robins, GA",0.9194,"Urban",721.368374
"26","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47644","Warren-Troy-Farmington Hills, MI",1.0497,"Urban",789.738087
"27","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47894","Washington-Arlington-Alexandria, DC-VA-MD-WV",1.1619,"Urban",848.610549
"28","2007","Continuous Home Care",763.66,524.71,238.95,NA,"47940","Waterloo-Cedar Falls, IA",0.91,"Urban",716.4361
"29","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48140","Wausau, WI",1.0198,"Urban",774.049258
"30","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48260","Weirton-Steubenville, WV-OH",0.8315,"Urban",675.246365
"31","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48300","Wenatchee, WA",1.0709,"Urban",800.861939
"32","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48424","West Palm Beach-Boca Raton-Boynton Beach, FL",1.0706,"Urban",800.704526
"33","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48540","Wheeling, WV-OH",0.8,"Urban",658.718
"34","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48620","Wichita, KS",0.9734,"Urban",749.702714
"35","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48660","Wichita Falls, TX",0.8811,"Urban",701.271981
"36","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48700","Williamsport, PA",0.8895,"Urban",705.679545
"37","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48864","Wilmington, DE-MD-NJ",1.1135,"Urban",823.214585
"38","2007","Continuous Home Care",763.66,524.71,238.95,NA,"48900","Wilmington, NC",1.019,"Urban",773.62949
"39","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49020","Winchester, VA-WV",1.0862,"Urban",808.890002
"40","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49180","Winston-Salem, NC",0.9511,"Urban",738.001681
"41","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49340","Worcester, MA",1.1728,"Urban",854.329888
"42","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49420","Yakima, WA",1.0799,"Urban",805.584329
"43","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49620","York-Hanover, PA",0.994,"Urban",760.51174
"44","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49660","Youngstown-Warren-Boardman, OH-PA",0.9149,"Urban",719.007179
"45","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49700","Yuba City, CA",1.1614,"Urban",848.348194
"46","2007","Continuous Home Care",763.66,524.71,238.95,NA,"49740","Yuma, AZ",0.9705,"Urban",748.181055
"47","2007","Continuous Home Care",763.66,524.71,238.95,NA,"11180","Ames, IA",1.0141,"Urban",771.058411
"48","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24020","Glens Falls, NY",0.9102,"Urban",716.541042
"49","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24140","Goldsboro, NC",0.9332,"Urban",728.609372
"50","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24220","Grand Forks, ND-MN",0.8402,"Urban",679.811342
"51","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24300","Grand Junction, CO",1.0156,"Urban",771.845476
"52","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24340","Grand Rapids-Wyoming, MI",0.9986,"Urban",762.925406
"53","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24500","Great Falls, MT",0.9626,"Urban",744.035846
"54","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24540","Greeley, CO",1.0177,"Urban",772.947367
"55","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24580","Green Bay, WI",1.0085,"Urban",768.120035
"56","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24860","Greensboro-High Point, NC",0.9682,"Urban",746.974222
"57","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24780","Greenville, NC",1.0023,"Urban",764.866833
"58","2007","Continuous Home Care",763.66,524.71,238.95,NA,"24860","Greenville, SC",1.0663,"Urban",798.448273
"59","2007","Continuous Home Care",763.66,524.71,238.95,NA,"25060","Gulfport-Biloxi, MS",0.9496,"Urban",737.214616
"60","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12220","Auburun-Opelika, AL",0.8614,"Urban",690.935194
"61","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12260","Augusta-Richmond County, GA-SC",1.0366,"Urban",782.864386
"62","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12420","Austin-Round Rock, TX",1.0036,"Urban",765.548956
"63","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12540","Bakersfield, CA",1.1134,"Urban",823.162114
"64","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12580","Baltimore-Towson, MD",1.0525,"Urban",791.207275
"65","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12620","Bangor, ME",1.0627,"Urban",796.559317
"66","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12700","Barnstable Town, MA",1.3399,"Urban",942.008929
"67","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12940","Baton Rouge, LA",0.9138,"Urban",718.429998
"68","2007","Continuous Home Care",763.66,524.71,238.95,NA,"12980","Battle Creek, MI",1.011,"Urban",769.43181
"69","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13020","1Bay City, MI",0.9936,"Urban",760.301856
"70","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13140","Beaumont-Port Arthur, TX",0.8946,"Urban",708.355566
"71","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13380","Bellingham, WA",1.2475,"Urban",893.525725
"72","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13460","Bend, OR",1.147,"Urban",840.79237
"73","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13644","Bethesda-Gaithersburg-Frederick, MD",1.2212,"Urban",879.725852
"74","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13740","Billings, MT",0.9394,"Urban",731.862574
"75","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13780","Binghamton, NY",0.9105,"Urban",716.698455
"76","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13820","Birmingham-Hoover, AL",0.9527,"Urban",738.841217
"77","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13900","Bismark, ND",0.8055,"Urban",661.603905
"78","2007","Continuous Home Care",763.66,524.71,238.95,NA,"13980","Blacksburg-Christiansburg-Radford, VA",0.8459,"Urban",682.802189
"79","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14020","Bloomington, IN",0.8983,"Urban",710.296993
"80","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14060","Bloomington-Norma, IL",0.9651,"Urban",745.347621
"81","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14260","Boise City-Nampa, ID",0.9626,"Urban",744.035846
"82","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14484","Boston-Quincy, MA",1.2291,"Urban",883.871061
"83","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14500","Boulder, CO",1.0352,"Urban",782.129792
"84","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14540","Bowling Green, KY",0.8732,"Urban",697.126772
"85","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14740","Bremerton-Silverdale, WA",1.1352,"Urban",834.600792
"86","2007","Continuous Home Care",763.66,524.71,238.95,NA,"14860","Bridgeport-Stamford-Norwalk, CT",1.3391,"Urban",941.589161
